year,region,dt_land_ocean_aod550,dt_land_qa_aod550,db_land_aod550,dt_db_combined_aod550
2003,Global,0.1655503646463635,0.2257378076881097,0.22214624040056408,0.17129147232621436
2003,East China,0.4672238708850156,0.4989304411365784,0.377945640246578,0.44054988260143274
2003,East Asia,0.3837743923761972,0.4234128122777887,0.3438396103642634,0.3662991134888252
2003,India,0.3665980239990754,0.41015014837439584,0.3381192867134335,0.3489105580052287
2003,North Africa/Sahel,0.31698680759721537,0.32118871727838044,0.3547066864614128,0.3397335058130711
2003,Middle East,0.39542013364813905,0.3365092801755623,0.3337102199032058,0.35876323504072377
2003,Tropical S. America,0.22160807495096488,0.24948036692125253,0.22633869106458548,0.21875419299583596
2003,Europe,0.1823939116852852,0.19372367792807746,0.18393418509147383,0.18340236185685474
2003,CONUS,0.1526172337809014,0.16317778823309517,0.11519793769474862,0.1415291309401603
2004,Global,0.1618000236032144,0.22287830503142922,0.21411936617557095,0.16666867903806382
2004,East China,0.4627138912055299,0.49230322830640166,0.3473467986685441,0.4200393825204192
2004,East Asia,0.3609313217672608,0.39389525828267247,0.2815097599246644,0.3272264628653811
2004,India,0.3740128457362526,0.42668818979931517,0.3476352448091525,0.350773421827779
2004,North Africa/Sahel,0.3568698334774978,0.36157996565546263,0.36952685430753035,0.36027890949749053
2004,Middle East,0.3628835348581156,0.3103249970224963,0.2934737014531626,0.3226003861944908
2004,Tropical S. America,0.22983892128750757,0.2588763285203299,0.23519181096708716,0.22691056160399758
2004,Europe,0.1661791243193226,0.17446791860966163,0.15714835289524834,0.16693260837183754
2004,CONUS,0.1378265960799526,0.14702367313823542,0.10138297017217418,0.12649607877835056
2005,Global,0.16528697826571723,0.2220242868556267,0.21492865494548055,0.17040165128127405
2005,East China,0.48550482752223756,0.5163499345260038,0.38514209193422877,0.44823670976047375
2005,East Asia,0.38193767480635943,0.4141398438317252,0.31399190410735595,0.3539197826694611
2005,India,0.35001807737284746,0.39692275585167963,0.3126645960618345,0.3282141943753461
2005,North Africa/Sahel,0.3412787841681672,0.34210183681846135,0.3675991928968503,0.3575747536277663
2005,Middle East,0.3637811636790665,0.33107601855121593,0.30586924221032125,0.3291045035163707
2005,Tropical S. America,0.24726444901934583,0.27922686395821666,0.2524217328998449,0.24317971333533525
2005,Europe,0.16638296370978095,0.1770580732125031,0.16331304571643815,0.16755253673029114
2005,CONUS,0.14853071454696368,0.15771026551320888,0.10453134301643087,0.13409110253299594
