year,production_freeze_l2_db_total_aod,operational_m3_db_land_aod,production_anomaly_2008_2017,m3_anomaly_2008_2017,absolute_difference_prod_minus_m3,anomaly_difference_prod_minus_m3
2003,0.29482773678302665,0.22214624040056408,0.001751555547861272,0.0054083089119358885,0.07268149638246257,-0.0036567533640746164
2004,0.28743605141659784,0.21411936617557095,-0.005640129818567541,-0.002618565313057236,0.07331668524102689,-0.0030215645055103046
2005,0.28969294027804376,0.21492865494548055,-0.0033832409571216138,-0.0018092765431476365,0.07476428533256321,-0.0015739644139739772
2006,0.29399888265704527,0.21833587133035678,0.0009227014218798901,0.0015979398417285962,0.07566301132668848,-0.000675238419848706
2007,0.29465252562412997,0.21972239839232469,0.00157634438896459,0.0029844669036964977,0.07493012723180528,-0.0014081225147319076
2008,0.299282273167263,0.2215908998182993,0.006206091932097646,0.004852968329671109,0.07769137334896373,0.001353123602426537
2009,0.29457686651506637,0.2149524875042554,0.0015006852799009929,-0.0017854439843727754,0.07962437901081096,0.0032861292642737683
2010,0.2922216455282457,0.21862721073281013,-0.0008545357069196791,0.0018892792441819461,0.07359443479543556,-0.002743814951101625
2011,0.3008497577417332,0.22271248719000045,0.0077735765065678475,0.005974555701372258,0.07813727055173278,0.0017990208051955892
2012,0.3007305319351052,0.22680984912261792,0.007654350699939805,0.010071917633989735,0.07392068281248726,-0.0024175669340499306
2013,0.2843322996038084,0.20905577136152928,-0.008743881631356976,-0.007682160127098908,0.07527652824227912,-0.0010617215042580674
2014,0.2899460416722335,0.21241531584146933,-0.0031301395629318995,-0.004322615647158856,0.07753072583076415,0.0011924760842269566
2015,0.30246085085342295,0.22753952046551104,0.009384669618257568,0.010801588976882853,0.0749213303879119,-0.0014169193586252848
2016,0.28365980241901584,0.2074403130651072,-0.00941637881614954,-0.009297618423520976,0.07621948935390863,-0.00011876039262856408
2017,0.28270174291575995,0.20623545978468197,-0.010374438319405432,-0.01050247170394622,0.07646628313107798,0.00012803338454078772
2018,0.28326838672050786,0.20734935565875448,-0.00980779451465752,-0.009388575829873708,0.07591903106175338,-0.00041921868478381197
2019,0.28669002602648025,0.20674736981389427,-0.006386155208685129,-0.009990561674733917,0.07994265621258598,0.0036044064660487873
2020,0.2812608889446564,0.2027191327113376,-0.011815292290508983,-0.014018798777290592,0.0785417562333188,0.002203506486781609
2021,0.2871340316727456,0.20985625538252725,-0.005942149562419785,-0.006881676106100937,0.07727777629021834,0.0009395265436811517
2022,0.30840116058242967,0.20844645658350971,0.01532497934726429,-0.008291474905118473,0.09995470399891995,0.023616454252382763
2023,0.2905391138627303,0.20789432055766935,-0.0025370673724350867,-0.00884361093095884,0.08264479330506094,0.006306543558523753
2024,0.27327593838353975,0.21138241793446064,-0.019800242851625627,-0.005355513554167551,0.061893520449079115,-0.014444729297458075
2025,0.23827187774591896,0.18277719724611366,-0.05480430348924642,-0.03396073424251453,0.0554946804998053,-0.02084356924673189
